PID: 6026, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 7577, Name: plugin-container, CPU: 0.21%, Memory: 76136448 bytes
PID: 7602, Name: plugin-container, CPU: 0.06%, Memory: 66535424 bytes
PID: 7958, Name: plugin-container, CPU: 0.08%, Memory: 69844992 bytes
PID: 8046, Name: plugin-container, CPU: 0.04%, Memory: 85966848 bytes
PID: 8153, Name: mdwrite, CPU: 0.00%, Memory: 1851392 bytes
PID: 8238, Name: Brave Browser, CPU: 0.60%, Memory: 171098112 bytes
PID: 8253, Name: chrome_crashpad_handler, CPU: 0.00%, Memory: 1769472 bytes
PID: 8255, Name: Brave Browser Helper (GPU), CPU: 0.26%, Memory: 67813376 bytes
PID: 8256, Name: Brave Browser Helper, CPU: 0.18%, Memory: 50888704 bytes
PID: 8258, Name: Brave Browser Helper, CPU: 0.02%, Memory: 16482304 bytes
PID: 8268, Name: Brave Browser Helper (Renderer), CPU: 0.08%, Memory: 52559872 bytes
PID: 8269, Name: Brave Browser Helper (Renderer), CPU: 0.00%, Memory: 16891904 bytes
PID: 8316, Name: Brave Browser Helper (Renderer), CPU: 0.00%, Memory: 16400384 bytes
PID: 8455, Name: Brave Browser Helper, CPU: 0.02%, Memory: 14893056 bytes
PID: 8456, Name: Brave Browser Helper (Plugin), CPU: 0.02%, Memory: 11190272 bytes
PID: 8867, Name: plugin-container, CPU: 0.06%, Memory: 40747008 bytes
PID: 10443, Name: com.apple.AmbientDisplayAgent, CPU: 0.07%, Memory: 3801088 bytes
PID: 11844, Name: plugin-container, CPU: 0.07%, Memory: 47448064 bytes
PID: 11853, Name: plugin-container, CPU: 0.14%, Memory: 51085312 bytes
PID: 11899, Name: OneDrive, CPU: 0.09%, Memory: 45039616 bytes
PID: 11900, Name: Microsoft SharePoint, CPU: 0.02%, Memory: 26558464 bytes
PID: 13322, Name: plugin-container, CPU: 0.01%, Memory: 46399488 bytes
PID: 13341, Name: usermanagerd, CPU: 0.00%, Memory: 3932160 bytes
PID: 13524, Name: nehelper, CPU: 0.01%, Memory: 7323648 bytes
PID: 14028, Name: Brave Browser Helper (Renderer), CPU: 0.03%, Memory: 29589504 bytes
PID: 14803, Name: UIKitSystem, CPU: 0.01%, Memory: 29229056 bytes
PID: 15482, Name: plugin-container, CPU: 0.01%, Memory: 48726016 bytes
PID: 15711, Name: ShareSheetUI, CPU: 0.00%, Memory: 7602176 bytes
PID: 15843, Name: login, CPU: 0.00%, Memory: 4521984 bytes
PID: 15847, Name: fish, CPU: 0.10%, Memory: 1785856 bytes
PID: 16068, Name: ShipIt, CPU: 0.00%, Memory: 2342912 bytes
PID: 16192, Name: StandaloneUpdaterDaemon, CPU: 0.00%, Memory: 4014080 bytes
PID: 17262, Name: plugin-container, CPU: 0.10%, Memory: 51167232 bytes
PID: 17547, Name: Code - Insiders Helper (Plugin), CPU: 0.02%, Memory: 9273344 bytes
PID: 17573, Name: plugin-container, CPU: 1.51%, Memory: 323141632 bytes
PID: 17681, Name: com.apple.WebKit.GPU, CPU: 0.00%, Memory: 4145152 bytes
PID: 17683, Name: com.apple.WebKit.WebContent, CPU: 0.00%, Memory: 2277376 bytes
PID: 17690, Name: com.apple.WebKit.Networking, CPU: 0.00%, Memory: 4997120 bytes
PID: 17706, Name: com.apple.WebKit.WebContent, CPU: 0.00%, Memory: 2260992 bytes
PID: 17720, Name: com.apple.WebKit.WebContent, CPU: 0.00%, Memory: 1572864 bytes
PID: 18467, Name: com.apple.DriverKit.AppleUserECM, CPU: 0.81%, Memory: 6881280 bytes
PID: 18468, Name: com.apple.DriverKit.AppleUserECM, CPU: 0.00%, Memory: 131072 bytes
PID: 18993, Name: seserviced, CPU: 0.00%, Memory: 2801664 bytes
